count,date
143,2013-12-01 00:00:00
299,2013-12-02 00:00:00
326,2013-12-03 00:00:00
280,2013-12-04 00:00:00
777,2013-12-05 00:00:00
444,2013-12-06 00:00:00
179,2013-12-07 00:00:00
138,2013-12-08 00:00:00
264,2013-12-09 00:00:00
224,2013-12-10 00:00:00
316,2013-12-11 00:00:00
274,2013-12-12 00:00:00
551,2013-12-13 00:00:00
181,2013-12-14 00:00:00
162,2013-12-15 00:00:00
388,2013-12-16 00:00:00
300,2013-12-17 00:00:00
581,2013-12-18 00:00:00
298,2013-12-19 00:00:00
235,2013-12-20 00:00:00
131,2013-12-21 00:00:00
112,2013-12-22 00:00:00
245,2013-12-23 00:00:00
185,2013-12-24 00:00:00
74,2013-12-25 00:00:00
175,2013-12-26 00:00:00
212,2013-12-27 00:00:00
91,2013-12-28 00:00:00
91,2013-12-29 00:00:00
173,2013-12-30 00:00:00
135,2013-12-31 00:00:00
75,2014-01-01 00:00:00
157,2014-01-02 00:00:00
119,2014-01-03 00:00:00
109,2014-01-04 00:00:00
99,2014-01-05 00:00:00
331,2014-01-06 00:00:00
286,2014-01-07 00:00:00
309,2014-01-08 00:00:00
229,2014-01-09 00:00:00
273,2014-01-10 00:00:00
100,2014-01-11 00:00:00
105,2014-01-12 00:00:00
210,2014-01-13 00:00:00
202,2014-01-14 00:00:00
279,2014-01-15 00:00:00
241,2014-01-16 00:00:00
229,2014-01-17 00:00:00
97,2014-01-18 00:00:00
95,2014-01-19 00:00:00
267,2014-01-20 00:00:00
318,2014-01-21 00:00:00
315,2014-01-22 00:00:00
225,2014-01-23 00:00:00
212,2014-01-24 00:00:00
72,2014-01-25 00:00:00
68,2014-01-26 00:00:00
514,2014-01-27 00:00:00
477,2014-01-28 00:00:00
241,2014-01-29 00:00:00
213,2014-01-30 00:00:00
175,2014-01-31 00:00:00
91,2014-02-01 00:00:00
58,2014-02-02 00:00:00
158,2014-02-03 00:00:00
232,2014-02-04 00:00:00
160,2014-02-05 00:00:00
343,2014-02-06 00:00:00
391,2014-02-07 00:00:00
105,2014-02-08 00:00:00
165,2014-02-09 00:00:00
480,2014-02-10 00:00:00
251,2014-02-11 00:00:00
432,2014-02-12 00:00:00
318,2014-02-13 00:00:00
274,2014-02-14 00:00:00
120,2014-02-15 00:00:00
97,2014-02-16 00:00:00
194,2014-02-17 00:00:00
282,2014-02-18 00:00:00
287,2014-02-19 00:00:00
259,2014-02-20 00:00:00
187,2014-02-21 00:00:00
71,2014-02-22 00:00:00
90,2014-02-23 00:00:00
311,2014-02-24 00:00:00
1470,2014-02-25 00:00:00
982,2014-02-26 00:00:00
656,2014-02-27 00:00:00
1246,2014-02-28 00:00:00
314,2014-03-01 00:00:00
165,2014-03-02 00:00:00
479,2014-03-03 00:00:00
501,2014-03-04 00:00:00
741,2014-03-05 00:00:00
1170,2014-03-06 00:00:00
1574,2014-03-07 00:00:00
349,2014-03-08 00:00:00
202,2014-03-09 00:00:00
594,2014-03-10 00:00:00
507,2014-03-11 00:00:00
304,2014-03-12 00:00:00
225,2014-03-13 00:00:00
255,2014-03-14 00:00:00
135,2014-03-15 00:00:00
112,2014-03-16 00:00:00
422,2014-03-17 00:00:00
284,2014-03-18 00:00:00
163,2014-03-19 00:00:00
265,2014-03-20 00:00:00
288,2014-03-21 00:00:00
128,2014-03-22 00:00:00
80,2014-03-23 00:00:00
194,2014-03-24 00:00:00
450,2014-03-25 00:00:00
377,2014-03-26 00:00:00
246,2014-03-27 00:00:00
216,2014-03-28 00:00:00
106,2014-03-29 00:00:00
112,2014-03-30 00:00:00
166,2014-03-31 00:00:00
197,2014-04-01 00:00:00
202,2014-04-02 00:00:00
145,2014-04-03 00:00:00
140,2014-04-04 00:00:00
64,2014-04-05 00:00:00
63,2014-04-06 00:00:00
149,2014-04-07 00:00:00
151,2014-04-08 00:00:00
243,2014-04-09 00:00:00
213,2014-04-10 00:00:00
184,2014-04-11 00:00:00
69,2014-04-12 00:00:00
49,2014-04-13 00:00:00
129,2014-04-14 00:00:00
202,2014-04-15 00:00:00
514,2014-04-16 00:00:00
177,2014-04-17 00:00:00
116,2014-04-18 00:00:00
76,2014-04-19 00:00:00
92,2014-04-20 00:00:00
169,2014-04-21 00:00:00
170,2014-04-22 00:00:00
144,2014-04-23 00:00:00
273,2014-04-24 00:00:00
135,2014-04-25 00:00:00
92,2014-04-26 00:00:00
67,2014-04-27 00:00:00
141,2014-04-28 00:00:00
227,2014-04-29 00:00:00
218,2014-04-30 00:00:00
87,2014-05-01 00:00:00
69,2014-05-02 00:00:00
32,2014-05-03 00:00:00
39,2014-05-04 00:00:00
104,2014-05-05 00:00:00
103,2014-05-06 00:00:00
115,2014-05-07 00:00:00
271,2014-05-08 00:00:00
213,2014-05-09 00:00:00
52,2014-05-10 00:00:00
36,2014-05-11 00:00:00
64,2014-05-12 00:00:00
168,2014-05-13 00:00:00
105,2014-05-14 00:00:00
101,2014-05-15 00:00:00
160,2014-05-16 00:00:00
49,2014-05-17 00:00:00
49,2014-05-18 00:00:00
133,2014-05-19 00:00:00
147,2014-05-20 00:00:00
102,2014-05-21 00:00:00
100,2014-05-22 00:00:00
133,2014-05-23 00:00:00
30,2014-05-24 00:00:00
47,2014-05-25 00:00:00
78,2014-05-26 00:00:00
121,2014-05-27 00:00:00
121,2014-05-28 00:00:00
236,2014-05-29 00:00:00
137,2014-05-30 00:00:00
32,2014-05-31 00:00:00
32,2014-06-01 00:00:00
106,2014-06-02 00:00:00
179,2014-06-03 00:00:00
146,2014-06-04 00:00:00
74,2014-06-05 00:00:00
95,2014-06-06 00:00:00
32,2014-06-07 00:00:00
28,2014-06-08 00:00:00
68,2014-06-09 00:00:00
89,2014-06-10 00:00:00
140,2014-06-11 00:00:00
194,2014-06-12 00:00:00
248,2014-06-13 00:00:00
